,Family,Members,Cont_Member,Cont_Family
0,F0,F0semitoneFrom27.5Hz_sma3nz_amean,0.007518151134975324,0.10590178165831442
1,F0,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.0007660421082937473,0.10590178165831442
2,F0,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.020923937732571608,0.10590178165831442
3,F0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.008652298027674374,0.10590178165831442
4,F0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.0029057385597815203,0.10590178165831442
5,F0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.005575470713758938,0.10590178165831442
6,F0,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.00820170434926463,0.10590178165831442
7,F0,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.0012582714813579837,0.10590178165831442
8,F0,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.00021290178064512687,0.10590178165831442
9,F0,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.000294332967403584,0.10590178165831442
10,lo,loudness_sma3_amean,0.00040002277528814264,0.006144308557111207
11,lo,loudness_sma3_stddevNorm,0.0003940397445914158,0.006144308557111207
12,lo,loudness_sma3_percentile20.0,0.0009227846103395125,0.006144308557111207
13,lo,loudness_sma3_percentile50.0,4.4534733562139895e-06,0.006144308557111207
14,lo,loudness_sma3_percentile80.0,2.0643180161890657e-05,0.006144308557111207
15,lo,loudness_sma3_pctlrange0-2,0.00035428114471166384,0.006144308557111207
16,lo,loudness_sma3_meanRisingSlope,0.00014859152167045824,0.006144308557111207
17,lo,loudness_sma3_stddevRisingSlope,0.00014026280706877834,0.006144308557111207
18,lo,loudness_sma3_meanFallingSlope,0.00030831844685102236,0.006144308557111207
19,lo,loudness_sma3_stddevFallingSlope,0.00013972654120709608,0.006144308557111207
20,lo,loudnessPeaksPerSec,0.00043385518085641564,0.006144308557111207
21,sp,spectralFlux_sma3_amean,0.00046976036416350334,0.004409477570935634
22,sp,spectralFlux_sma3_stddevNorm,0.0005696939691512788,0.004409477570935634
23,sp,spectralFluxV_sma3nz_amean,0.0004558103449321173,0.004409477570935634
24,sp,spectralFluxV_sma3nz_stddevNorm,0.00012936784679023976,0.004409477570935634
25,sp,spectralFluxUV_sma3nz_amean,0.000719922988444522,0.004409477570935634
26,mf,mfcc1_sma3_amean,0.0010196140902810626,0.18468970843253035
27,mf,mfcc1_sma3_stddevNorm,0.0015432320746253247,0.18468970843253035
